id,civ,developer_id,date,spend
1,humans,945420705943,133,14
2,blobs,3405131060698,31,352
3,blobs,233909906408,292,437
4,monsters,4009337233854,260,417
5,humans,7833188455225,44,166
6,blobs,5768007950322,272,887
7,blobs,8046706533764,150,502
8,monsters,4269081663422,90,572
9,monsters,3756852932099,255,104
10,blobs,4466694668361,12,214
11,monsters,5206483939103,30,147
12,monsters,3201881494212,299,888
13,humans,1790610361325,106,425
14,humans,1793805672384,212,466
15,blobs,8736254135916,12,876
16,monsters,8546823124442,150,383
17,monsters,1316119123866,259,177
18,humans,8198136008480,73,284
19,humans,7239726529707,83,669
20,monsters,7537171326908,6,756
21,monsters,5301863645645,42,412
22,humans,1761947246412,258,353
23,monsters,7046822749258,66,76
24,humans,2722271806241,46,924
25,blobs,8891971833624,48,150
26,blobs,9452552261800,52,398
27,blobs,743566703171,2,853
28,monsters,5173536444542,173,263
29,monsters,1084086412197,300,681
30,monsters,5112619221014,134,333
31,blobs,2284115679933,323,929
32,monsters,7973099796447,157,42
33,blobs,8372648209223,186,324
34,blobs,499979220398,242,554
35,monsters,3799323243362,6,557
36,humans,9110574029299,183,990
37,blobs,6972040962279,238,130
38,monsters,3800290483841,219,645
39,humans,5038361772243,310,172
40,blobs,5667779592162,95,862
41,humans,8379365343588,100,183
42,blobs,5763374450277,29,550
43,monsters,3614887048492,161,954
44,humans,6101284311007,198,474
45,humans,8350430163468,28,985
46,monsters,5059227366462,94,226
47,humans,7752996469427,60,926
48,blobs,4511817750370,177,693
49,blobs,7432673630005,282,839
50,blobs,6005354004014,345,420
51,monsters,3814333478695,190,414
52,humans,8186926285319,190,745
53,humans,3390468180891,13,312
54,monsters,7973697497188,288,500
55,humans,5688485709002,363,170
56,blobs,9472295481840,7,456
57,humans,4433945549721,324,702
58,blobs,2922814568630,210,550
59,blobs,782733885266,342,894
60,blobs,5796146412249,304,864
61,monsters,2033995562309,273,774
62,blobs,7323496215441,15,404
63,blobs,8278133619014,47,704
64,blobs,9092328325766,303,687
65,blobs,7477789608827,70,588
66,monsters,5258305042064,306,115
67,blobs,1658516377714,277,323
68,humans,9967947606031,132,162
69,blobs,2278253375147,193,980
70,blobs,7758595469451,167,879
71,blobs,5678061302583,316,854
72,humans,2293803627747,62,584
73,blobs,3424896901381,4,154
74,monsters,9555523573738,91,943
75,humans,1096844475605,112,204
76,humans,1670919869381,195,771
77,blobs,6360927590216,119,673
78,humans,7727473349229,319,100
79,humans,2080428660833,314,446
80,monsters,3574577076462,236,871
81,monsters,1414236052503,357,172
82,humans,1284541142382,262,698
83,blobs,6180315325543,107,206
84,humans,1573415236792,53,30
85,humans,3441726318321,9,157
86,monsters,2115265999379,22,744
87,blobs,7561851617246,326,561
88,monsters,9071730009362,161,861
89,monsters,8342282187486,101,442
90,humans,2178978103476,351,427
91,humans,1869912658076,37,766
92,humans,828543451450,9,371
93,blobs,8597644520060,321,197
94,monsters,9204310233823,294,463
95,monsters,4647769700230,132,886
96,monsters,4680440775891,304,556
97,humans,4431712581718,129,74
98,humans,2505951443511,233,656
99,humans,3387960958478,69,64
100,monsters,2229747764318,278,161
101,blobs,194106440192,262,306
102,humans,1915642561008,245,40
103,monsters,7335552424275,81,774
104,monsters,8591440860159,120,890
105,blobs,4962837390491,177,209
106,blobs,3376861847575,112,433
107,monsters,1999761467395,311,899
108,humans,9511969386979,51,498
109,humans,9303499244841,326,403
110,humans,684763579438,93,528
111,humans,4169599822194,314,405
112,humans,3770758839,311,563
113,humans,974848979676,11,169
114,humans,1159043380305,89,877
115,humans,2494150313557,174,440
116,monsters,7999424268158,282,565
117,blobs,7444152475412,98,860
118,blobs,7821638104573,340,392
119,blobs,6379003127781,25,58
120,monsters,5580055029322,247,477
121,humans,6442445462962,361,409
122,blobs,8040229977212,123,81
123,monsters,878219290961,303,148
124,humans,6338834527819,247,371
125,blobs,4156784494880,271,231
126,blobs,7282918626368,244,561
127,humans,1848248920467,308,218
128,blobs,8590042008179,309,47
129,monsters,9106855798886,195,168
130,blobs,7716744773311,158,931
131,monsters,8274737078023,172,542
132,blobs,6078576507597,115,213
133,blobs,4594658482505,165,531
134,monsters,2811137661197,290,136
135,blobs,7014450081084,61,654
136,monsters,3600704729872,29,815
137,humans,6785876474371,288,427
138,humans,6758502678212,7,686
139,monsters,9610047002452,103,684
140,blobs,8526359927915,292,287
141,monsters,5942738085424,291,999
142,monsters,3292911153054,41,584
143,humans,2426405612941,197,884
144,monsters,6141819687403,312,290
145,monsters,6201175474817,340,125
146,monsters,1545138995359,52,466
147,humans,9384724599482,20,516
148,monsters,2646310342264,2,930
149,humans,464906593821,56,331
150,humans,998404468717,102,591
151,monsters,57188790921,28,168
152,blobs,2301310784520,235,288
153,humans,3578352296212,29,445
154,blobs,566805607156,22,443
155,monsters,9296128150021,295,47
156,monsters,95839246633,64,84
157,blobs,6931846345267,185,977
158,humans,6486462726268,261,315
159,blobs,1362450261152,348,221
160,blobs,1350707409210,172,280
161,monsters,4285138341307,78,5
162,humans,9153563852071,208,665
163,humans,1866603595241,71,734
164,monsters,7739558953419,213,691
165,humans,1432361079786,228,855
166,monsters,6167188465525,76,384
167,monsters,7164729865357,50,185
168,humans,9948081936624,250,50
169,blobs,2327599949865,174,741
170,monsters,5435996965242,112,343
171,blobs,8632142462970,84,920
172,blobs,2178595882262,3,375
173,monsters,8397418666163,346,365
174,blobs,5631491340424,126,145
175,blobs,7363308691553,204,617
176,monsters,2736687789878,278,67
177,humans,6556132618466,225,513
178,blobs,5237419173883,266,774
179,monsters,7619762232669,42,153
180,humans,9431568297679,26,612
181,humans,5772012899754,31,806
182,blobs,1200557116327,85,385
183,monsters,6624948317953,249,391
184,monsters,5720647926976,120,987
185,monsters,1909325725733,215,459
186,humans,8962616604832,128,696
187,blobs,7092916203314,28,580
188,humans,2012899967460,298,381
189,humans,8010960476871,126,701
190,humans,8365377490201,99,768
191,monsters,855673622670,116,381
192,blobs,9282587641689,345,943
193,blobs,394604665024,108,332
194,monsters,2192077341582,7,384
195,blobs,7781737096924,32,639
196,monsters,8468034898151,185,203
197,blobs,1144046408507,363,57
198,humans,4708370323694,105,17
199,humans,6115301475869,201,264
200,monsters,197081550670,117,812
201,monsters,4285218385928,238,274
202,humans,1265833858773,56,802
203,blobs,4524808887044,70,907
204,blobs,4438258311127,259,588
205,humans,1301691499608,352,581
206,blobs,7555427354163,54,606
207,humans,5691091014467,321,512
208,humans,334902577314,23,910
209,monsters,969525646284,40,307
210,monsters,5291529230956,186,992
211,monsters,1525523715597,286,90
212,blobs,638753699121,87,51
213,humans,9914242021015,135,659
214,monsters,4440703512740,118,891
215,blobs,7095102966501,338,119
216,blobs,8661504613640,72,653
217,humans,5301350474239,4,743
218,monsters,9219564878614,75,61
219,blobs,6600819794942,339,386
220,monsters,8064525439174,224,535
221,humans,1998007932286,79,990
222,monsters,7554204277865,31,646
223,blobs,327017348134,186,424
224,humans,8427324266181,118,436
225,humans,6415855674753,315,852
226,blobs,5851123566588,317,605
227,monsters,9463860542420,295,815
228,monsters,5554395396972,250,359
229,monsters,7301959063261,154,125
230,blobs,7769250112405,16,597
231,blobs,1205725607907,86,476
232,humans,2319524372305,296,415
233,monsters,6212058767372,222,693
234,monsters,6747804461402,132,866
235,monsters,7995728237457,128,89
236,blobs,2690993620495,153,630
237,blobs,4091932457154,217,392
238,blobs,4018927048744,46,537
239,humans,6299199357444,124,688
240,blobs,3888063876693,317,488
241,monsters,3430063265157,213,252
242,monsters,6156910677683,251,353
243,monsters,2145467630512,203,989
244,monsters,5780529514138,212,617
245,monsters,3505096533089,122,13
246,humans,2306885071428,140,798
247,humans,3516049166616,66,875
248,monsters,9842835181557,172,757
249,blobs,3131160621334,219,217
250,monsters,8833596978666,302,902
251,humans,7191484474803,89,97
252,blobs,6314221497990,121,17
253,monsters,9804224097354,324,300
254,humans,4361651133492,109,65
255,blobs,2563928330936,62,657
256,humans,3140214335266,148,721
257,blobs,7225116910277,45,472
258,humans,6259281625021,145,212
259,humans,9034068521538,132,222
260,humans,4201558963660,364,112
261,humans,6960659011760,338,341
262,humans,6228433610334,70,897
263,humans,6701241737881,156,896
264,humans,3413583640181,125,195
265,humans,4989809748716,140,900
266,humans,872194416922,298,446
267,monsters,7376746524575,113,333
268,blobs,8582171245956,10,38
269,humans,8358710485719,302,722
270,monsters,4986366533533,278,800
271,blobs,520505590603,170,148
272,humans,7516699632550,248,67
273,monsters,9488601909250,363,218
274,humans,4775164167590,270,961
275,monsters,3757073053215,170,676
276,blobs,3870083932618,131,186
277,monsters,1192939924757,198,840
278,humans,3691538228341,60,142
279,humans,970596210639,126,496
280,humans,5178464358034,361,443
281,monsters,1909452630728,252,415
282,humans,7457121415959,223,240
283,humans,9529503358977,227,176
284,humans,7342327455814,181,242
285,monsters,6916497074578,269,563
286,monsters,4631339676906,2,549
287,humans,7304066613573,159,593
288,blobs,5300119467890,259,299
289,humans,710026532801,317,1000
290,monsters,1717026483689,57,688
291,humans,2855968120036,39,807
292,blobs,3272116277900,180,105
293,monsters,614973024521,169,431
294,blobs,8244409822160,169,978
295,blobs,1205616506731,251,384
296,humans,6010452105074,6,123
297,monsters,3594336004186,196,928
298,monsters,7202807198376,201,154
299,humans,2741148930894,109,584
300,monsters,6895332039569,311,354
301,blobs,6605387198878,257,778
302,monsters,9035440235658,7,483
303,monsters,236996097956,223,420
304,blobs,8395143550333,214,458
305,humans,867554397703,259,394
306,monsters,9515089382312,24,374
307,humans,6400155754950,208,308
308,blobs,8220507957063,219,261
309,humans,1199576014958,18,381
310,humans,4286560007150,364,569
311,humans,5847345777384,144,182
312,humans,3974137849790,356,334
313,blobs,2521536167946,26,983
314,monsters,2109683012336,324,694
315,monsters,6572035526992,75,889
316,blobs,7507456225628,76,769
317,blobs,1927379928581,101,504
318,humans,3832232560166,298,304
319,blobs,1630616163525,147,731
320,blobs,9312731302880,82,430
321,blobs,6540789244767,76,994
322,monsters,4244604677162,50,505
323,monsters,4508723026786,13,671
324,blobs,1489883604355,228,595
325,humans,762301134118,174,562
326,monsters,4839620832742,247,484
327,monsters,9557568168236,351,781
328,monsters,7931876094413,333,172
329,monsters,3177467603599,280,3
330,monsters,6541445371387,110,612
