id,civ,developer_id,date,spend
1,monsters,3219434667855,310,949
2,humans,5477860299567,136,800
3,humans,8464842260396,127,407
4,monsters,1393455884515,117,19
5,blobs,4156449189192,328,505
6,monsters,5210187354360,104,236
7,blobs,5900626122215,42,308
8,humans,4652859105859,75,90
9,humans,8882726098025,252,424
10,monsters,4203940577578,159,568
11,monsters,2467214000277,4,973
12,monsters,3891839267427,234,380
13,humans,6253220744027,325,914
14,monsters,4591987494113,26,621
15,blobs,2293510422248,216,270
16,monsters,7292574759119,305,461
17,humans,2233747730564,48,993
18,monsters,3348411339161,315,7
19,blobs,7537227424145,138,288
20,blobs,6947562169817,59,874
21,humans,7915795655402,258,632
22,monsters,169582961983,245,981
23,humans,2425222182185,21,588
24,humans,1577414200306,303,651
25,monsters,9782032489894,307,672
26,blobs,7762378354078,245,392
27,humans,347937609544,45,478
28,monsters,8051453074543,50,227
29,blobs,8257528021308,300,230
30,blobs,2711758681815,1,698
31,humans,691286206952,84,45
32,blobs,2577063001091,292,345
33,humans,5420420154204,337,765
34,monsters,2462281377771,242,136
35,blobs,6198295219620,171,226
36,humans,1347624090911,362,18
37,humans,5205275540878,212,168
38,blobs,6023713119624,198,123
39,blobs,8559697423162,11,888
40,blobs,956069858781,282,704
41,monsters,936108117388,164,781
42,humans,426242999795,184,353
43,humans,7577992514857,242,363
44,monsters,4858427043883,248,866
45,blobs,8977823997572,254,822
46,monsters,2087451608722,209,718
47,humans,3251109090725,355,345
48,monsters,1112017317475,277,172
49,blobs,8082968601202,64,459
50,blobs,1668126577356,87,96
51,blobs,5084136830066,34,837
52,blobs,9565181322507,93,969
53,blobs,337640074894,193,805
54,humans,5811370753603,241,493
55,blobs,8049249928728,213,499
56,humans,2947558410485,87,391
57,humans,4801251122446,312,654
58,humans,4759934990399,273,48
59,blobs,6309956495291,26,61
60,humans,2934331092969,362,21
61,blobs,960678723366,82,768
62,humans,6699054555928,117,954
63,monsters,185712826161,92,288
64,monsters,3233743765204,316,693
65,monsters,4374974246377,2,852
66,blobs,5679742341145,349,970
67,monsters,3904469443640,141,484
68,blobs,6514422101382,32,29
69,humans,5838247574489,348,220
70,monsters,4917944289935,217,777
71,monsters,2808039534088,232,82
72,blobs,8411619998362,334,65
73,blobs,6351634002279,362,756
74,blobs,1145977653611,334,808
75,monsters,5846184050363,21,852
76,monsters,3552135739535,113,999
77,blobs,8797888154013,230,255
78,monsters,8297775304180,81,536
79,blobs,9376276871855,153,238
80,humans,9022171285126,178,561
81,blobs,7729103713650,201,666
82,monsters,3079398915523,360,525
83,blobs,9687292563191,162,26
84,monsters,223202674782,279,353
85,blobs,5213488666373,163,123
86,blobs,6749307092868,241,867
87,blobs,1769979459555,104,765
88,monsters,6262804095945,276,276
89,blobs,9239756765074,237,846
90,monsters,6527993448853,120,664
91,monsters,3884072418102,230,383
92,humans,7253322595761,61,911
93,humans,8743156302483,59,484
94,blobs,8623380443709,215,82
95,monsters,2851776713529,288,294
96,blobs,3719227999998,232,504
97,humans,5225704031449,171,919
98,blobs,8396077897438,124,773
99,monsters,4136820284742,135,11
100,humans,7027165833751,142,791
101,blobs,7275124344540,155,328
102,humans,2523994746532,299,470
103,humans,3444825943893,191,976
104,humans,4019882201813,226,50
105,monsters,5583678899965,181,632
106,blobs,8165781445469,321,895
107,blobs,2979332367992,342,750
108,monsters,8406339435818,211,798
109,blobs,8417058468723,40,993
110,blobs,5818498388624,141,159
111,humans,4897752280687,243,980
112,humans,554887019787,177,630
113,humans,3460436839546,360,940
114,blobs,1787717017173,216,977
115,blobs,4932247477427,43,921
116,monsters,9169504399493,348,196
117,monsters,1991905348806,262,545
118,monsters,7195897753963,251,169
119,humans,7606140323605,331,194
120,humans,6416686284882,298,426
121,monsters,102088261232,247,239
122,humans,206438580733,331,448
123,humans,1585102493420,223,721
124,monsters,2042966458310,144,276
125,humans,9828740009913,16,456
126,monsters,3242047949317,281,231
127,humans,3212322146591,206,889
128,blobs,9681487791173,15,947
129,humans,4026565384420,42,412
130,humans,9066638691610,323,819
131,monsters,3793136241797,315,844
132,humans,6723666756326,188,258
133,blobs,666324879414,13,487
134,humans,2008546961124,273,682
135,humans,1576388796362,93,554
136,humans,4915307719169,260,604
137,monsters,5293303450578,16,959
138,monsters,3953197369188,323,435
139,monsters,5792652777489,196,986
140,humans,516809036378,319,321
141,monsters,2032532304774,19,959
142,blobs,7122824487486,102,503
143,monsters,4030339930072,339,117
144,monsters,5879008995171,255,758
145,monsters,6946967534900,145,3
146,humans,1376547930071,119,189
147,humans,4619143111404,187,515
148,blobs,2419775906071,161,203
149,humans,4722194092716,31,992
150,blobs,5500166308789,268,686
151,monsters,3477684356587,191,33
152,humans,5824205325929,162,810
153,humans,8826791236544,222,704
154,blobs,7549108246951,252,94
155,monsters,8359343081105,124,408
156,monsters,771711841489,278,683
